NAME,MASS,VELOCITY,ACCELERATION,POSITION
Sun,1.989e+30,(0.0,0.0,0.0),(0.0,0.0,0.0),(0.0,0.0,0.0)
Object0,8.541874489342605e+26,(-7517.43030475535,-1219.733965701554,0.0),(0.0,0.0,0.0),(-366580319334.29443,2259297583883.793,0.0)
Object1,8.932756485738874e+26,(3150.548262599156,5044.261216013344,0.0),(0.0,0.0,0.0),(3183287072419.7007,-1988219706689.296,0.0)
Object2,8.949524625344496e+26,(-2641.8304145344773,5638.888959069435,0.0),(0.0,0.0,0.0),(3100158396524.3965,1452430221850.6829,0.0)
Object3,5.609480704171757e+26,(245.81093816739576,6854.754440631669,0.0),(0.0,0.0,0.0),(2819807951565.5312,-101118084393.74707,0.0)
Object4,5.792183237297053e+26,(-2401.2215216084537,9523.38010335355,0.0),(0.0,0.0,0.0),(1334462768107.9287,336470946637.69415,0.0)
Object5,7.403567493629186e+26,(9839.16452710912,-27448.95737143867,0.0),(0.0,0.0,0.0),(-146974845593.2628,-52683592588.59445,0.0)
Object6,5.963205901800617e+26,(-5549.467172081526,7480.676747423466,0.0),(0.0,0.0,0.0),(1228920465488.8428,911662675797.1344,0.0)
Object7,2.7401591952875677e+26,(12857.151065968017,7972.105853858716,0.0),(0.0,0.0,0.0),(305672543562.5921,-492978661014.7269,0.0)
Object8,3.0456232585135886e+25,(4974.2611353957345,-2355.8617352794026,0.0),(0.0,0.0,0.0),(-1875725019925.313,-3960481180869.1763,0.0)
Object9,7.706636600948282e+25,(-4132.446540053665,3242.0308000716636,0.0),(0.0,0.0,0.0),(2970162395871.8247,3785910151114.7627,0.0)
Object10,5.481823952929611e+26,(9995.524704448337,11592.939961837154,0.0),(0.0,0.0,0.0),(429098340316.33386,-369971989451.2418,0.0)
Object11,4.325870663313998e+25,(-3693.9125978254488,-14089.170886671574,0.0),(0.0,0.0,0.0),(-605288229949.7275,158695059908.87802,0.0)
Object12,8.386319675385073e+26,(-1707.497640700988,7402.387331048492,0.0),(0.0,0.0,0.0),(2241432658688.0825,517027926983.381,0.0)
Object13,5.4097462059879835e+25,(11558.573843148853,1953.5316188778854,0.0),(0.0,0.0,0.0),(160990652158.30975,-952542729816.3605,0.0)
Object14,7.793816703538477e+26,(-142.98304047569445,5539.544902520193,0.0),(0.0,0.0,0.0),(4321738355545.571,111549829650.3033,0.0)
Object15,2.943047307568888e+26,(-21457.294014549843,-8000.593936010112,0.0),(0.0,0.0,0.0),(-88437751595.19997,237186745526.83005,0.0)
